Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2014,4,3474648000000,-2129687000000,1344961000000,258628000000,-68058000000,190570000000,49840000000,-32589000000,49307000000,19507000000,-15171000000,4336000000,670000000,1607095000000,-1149802000000,457293000000,-312896000000,144397000000,-27672000000,-2393000000,-30065000000,114332000000,0,0
2015,1,3399672000000,-2010084000000,1389588000000,222390000000,-54196000000,168194000000,20837000000,37519000000,-30117000000,20127000000,-1089000000,19038000000,4759000000,1609818000000,-1003078000000,606740000000,-247475000000,359265000000,-78551000000,0,-78551000000,280714000000,0,0
2015,2,3428453000000,-2061092000000,1367361000000,242506000000,-73796000000,168710000000,26289000000,-31667000000,-8252000000,64335000000,-1731000000,62604000000,74000000,1585119000000,-969977000000,615142000000,-243529000000,371613000000,-81722000000,0,-81722000000,289891000000,0,0
2015,3,3565615000000,-2093895000000,1471720000000,270028000000,-71160000000,198868000000,8573000000,3430000000,269790000000,74473000000,-28298000000,46175000000,6152000000,2004708000000,-1317054000000,687654000000,-327986000000,359668000000,-75635000000,0,-75635000000,284033000000,0,0
2015,4,3688052000000,-2033194000000,1654858000000,286065000000,-76611000000,209454000000,64925000000,-40577000000,-993182000000,116576000000,-1910000000,114666000000,10500000000,1020644000000,-731574000000,289070000000,-65465000000,223605000000,-47920000000,-1000000,-47921000000,175684000000,0,0
2016,1,3735096000000,-2153526000000,1581570000000,268709000000,-67438000000,201271000000,42564000000,-4005000000,-183604000000,61265000000,-1318000000,59947000000,1000000,1697744000000,-1075047000000,622697000000,-233447000000,389250000000,-78974000000,0,-78974000000,310276000000,0,0
2016,2,4014125000000,-2307046000000,1707079000000,306181000000,-83248000000,222933000000,56231000000,-6090000000,-278268000000,48290000000,-13192000000,35098000000,10264000000,1747247000000,-1171007000000,576240000000,-137047000000,439193000000,-85958000000,-516000000,-86474000000,352719000000,0,684
2016,3,4142504000000,-2485527000000,1656977000000,319368000000,-82987000000,236381000000,51701000000,7608000000,-140336000000,22006000000,10832000000,32838000000,5945000000,1851114000000,-1243131000000,607983000000,-192153000000,415830000000,-79724000000,-2284000000,-82008000000,333822000000,0,0
2016,4,4556524000000,-2610261000000,1946263000000,379873000000,-96076000000,283797000000,79600000000,74570000000,-283755000000,164724000000,-7427000000,157297000000,8601000000,2266373000000,-1188704000000,1077669000000,-654940000000,422729000000,-93910000000,-462000000,-94372000000,328357000000,0,0
2017,1,4647289000000,-2739222000000,1908067000000,335144000000,-87219000000,247925000000,66684000000,39679000000,45285000000,365781000000,-3077000000,362704000000,5553000000,2675897000000,-1473788000000,1202109000000,-607321000000,594788000000,-130399000000,13777000000,-116622000000,478166000000,0,0
2017,2,5002035000000,-2982147000000,2019888000000,388420000000,-95426000000,292994000000,58518000000,13181000000,326630000000,49410000000,-3513000000,45897000000,17912000000,2775020000000,-1748457000000,1026563000000,-359174000000,667389000000,-160453000000,-4988000000,-165441000000,501948000000,0,0
2017,3,5193635000000,-3046421000000,2147214000000,401477000000,-92784000000,308693000000,54375000000,-26107000000,2535000000,78441000000,-37366000000,41075000000,7559000000,2535344000000,-1268654000000,1266690000000,-524844000000,741846000000,-198964000000,3915000000,-195049000000,546797000000,0,0
2017,4,5476680000000,-3094095000000,2382585000000,449627000000,-110908000000,338719000000,57152000000,-1448000000,228629000000,458807000000,-16841000000,441966000000,5045000000,3452648000000,-1726460000000,1726188000000,-1074004000000,652184000000,-66325000000,5361000000,-60964000000,591220000000,0,0
2018,1,5585859000000,-3213048000000,2372811000000,462763000000,-109819000000,352944000000,78423000000,5392000000,137835000000,379995000000,-29390000000,350605000000,5366000000,3303376000000,-1679283000000,1624093000000,-134006000000,1490087000000,-347980000000,2379000000,-345601000000,1144486000000,0,0
2018,2,5804195000000,-3315933000000,2488262000000,510894000000,-117185000000,393709000000,68586000000,-34164000000,-74923000000,395040000000,-39477000000,355563000000,8012000000,3205045000000,-1232830000000,1972215000000,-311286000000,1660929000000,-343016000000,0,-343016000000,1317913000000,0,0
2018,3,6007831000000,-3444588000000,2563243000000,525726000000,-197304000000,328422000000,160887000000,-18545000000,123170000000,249778000000,-57895000000,191883000000,11381000000,3360441000000,-1520206000000,1840235000000,-214904000000,1625331000000,-315434000000,-475000000,-315909000000,1309422000000,0,0
2018,4,6617477000000,-3678873000000,2938604000000,595216000000,-172765000000,422451000000,-66506000000,-31012000000,-17548000000,927489000000,-10769000000,916720000000,1628000000,4164337000000,-2279898000000,1884439000000,-272215000000,1612224000000,-292988000000,45995000000,-246993000000,1365231000000,0,3999
2019,1,6535477000000,-3678937000000,2856540000000,540578000000,-169131000000,371447000000,80552000000,26120000000,18446000000,136198000000,-2466000000,133732000000,3325000000,3490162000000,-1798929000000,1691233000000,15661000000,1706894000000,-371594000000,30589000000,-341005000000,1365889000000,0,0
2019,2,6811805000000,-3908801000000,2903004000000,707878000000,-187775000000,520103000000,68747000000,-3942000000,-26749000000,480648000000,-1109000000,479539000000,7947000000,3948649000000,-1922154000000,2026495000000,-111156000000,1915339000000,-365036000000,-17560000000,-382596000000,1532743000000,0,0
2019,3,7285383000000,-4262358000000,3023025000000,726617000000,-207479000000,519138000000,142048000000,51801000000,11967000000,88345000000,-4425000000,83920000000,16957000000,3848856000000,-1843617000000,2005239000000,-66466000000,1938773000000,-400951000000,11390000000,-389561000000,1549212000000,0,0
