Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,196437988091,0,196437988091,-157913412201,38524575890,4173512911,-1261291226,0,-2666760906,-8072936958,30697099711,13375179766,-10229411830,3145767936,0,33842867647,-8642575802,0,-8642575802,25200291845,0,25200291845,2085,0
2010,1,275746632655,0,275746632655,-241731810102,34014822553,2074017602,-1740082638,0,-3838883337,-21295680619,9214193561,1144242926,-424966522,719276404,0,9933469965,-2483367491,0,-2483367491,7450102474,0,7450102474,616,0
2010,2,330572542582,0,330572542582,-283653477720,46919064862,3008944699,-2257896378,-2257896378,-4412322856,-20064263966,23193526361,635396623,-526113402,109283221,0,23302809582,-5820662396,0,-5820662396,17482147186,0,17482147186,0,0
2010,3,288078587227,0,288078587227,-267556377085,20522210142,2737928140,-2175688354,-2175688354,-4264117404,-15011786749,1808545775,2829057467,-760233683,2068823784,0,3877369559,-969342390,0,-969342390,2908027169,0,2908027169,241,0
2010,4,353166261926,0,353166261926,-246394009099,106772252827,3016506343,-2944867573,-2944867573,-3946480363,-37183213530,65714197704,160533231602,-157618016475,2915215127,0,68629412831,-17540479822,0,-17540479822,51088933009,0,51088933009,4228,0
2011,1,368748958647,0,368748958647,-321607526747,47141431900,3510504480,-7164289728,-7164289728,-5361415801,-22391907388,15734323463,1786451981,-522936146,1263515835,0,16997839298,-4249459825,0,-4249459825,12748379473,0,12748379473,1055,0
2011,2,402790982124,0,402790982124,-357088358607,45702623517,2525954819,-7896981303,-7896981303,-5644004490,-20954651641,13732940902,6562725808,-1137279747,5425446061,0,19158386963,-5199610714,0,-5199610714,13958776249,0,13958776249,1155,0
2011,3,324149270143,0,324149270143,-292587925315,31561344828,5723993928,-10716601199,-10716601199,-5197870252,-19344774380,2026092925,3647488285,-1779899858,1867588427,0,3893681352,-973420338,0,-973420338,2920261014,0,2920261014,194,0
2011,4,405636411558,0,405636411558,-320017199802,85619211756,5963529910,-5885585818,-5885585818,-5407278494,-22800553089,57489324265,17278391240,-11914738503,5363652737,0,62852977002,-14699762479,0,-14699762479,48153214523,0,48153214523,3192,0
2012,1,503902022263,0,503902022263,-445769985301,58132036962,677894616,-12242952227,-12242952227,-7477119076,-28898663814,10191196461,225865581,0,225865581,0,10417062042,-2604265511,0,-2604265511,7812796531,0,7812796531,518,0
2012,2,445154466397,0,445154466397,-414744772238,30409694159,3057806473,-10304203490,-10304203490,-6244873149,-21484267525,-4565843532,14219964643,-608827645,13611136998,0,9045293466,-2261323366,0,-2261323366,6783970100,0,6783970100,450,0
2012,3,292807945162,0,292807945162,-263763026035,29044919127,132885862,-11526957057,-11526957057,-4887837251,-14170825506,-1407814825,3245247478,-533304248,2711943230,0,1304128405,-326032101,0,-326032101,978096304,0,978096304,65,0
2012,4,621038286959,0,621038286959,-534377204330,86661082629,273972912,-19743117560,-19743117560,-9753516101,-34030331370,23408090510,27324485390,-34021318163,-6696832773,0,16711257737,-3851782333,0,-3851782333,12859475404,0,12859475404,831,0
2013,1,405872755918,0,405872755918,-356877056390,48995699528,189314012,-18400040695,-18400040695,-6584574585,-24246906455,-46508195,2429577459,-998933306,1430644153,0,1384135958,-346033989,0,-346033989,1038101969,0,1038101969,69,0
2013,2,300464831593,0,300464831593,-260326137910,40138693683,86842387,-17465996257,-17465996257,-5995265344,-20822168514,-4057894045,4944359066,-1714371361,3229987705,0,-827906340,1127468334,0,1127468334,299561994,0,299561994,20,0
2013,3,292594926425,0,292594926425,-279505236576,13089689849,34008803,-17446551563,-17446551563,-5697317296,-24043803284,-34063973491,2148838309,-961355080,1187483229,0,-32876490262,139057405,0,139057405,-32737432857,0,-32737432857,-2170,0
2013,4,535573216390,0,535573216390,-406297954051,129275262339,48623541,-18186583137,-18186583137,-10251258635,-33024167705,67861876403,3438590142,-1579322136,1859268006,0,69721144409,-9568086636,0,-9568086636,60153057773,0,60153057773,3988,0
2014,1,406201258249,0,406201258249,-352720309967,53480948282,48372030,-15294394858,-15294394858,-5857752461,-30822848933,1554324060,4187461583,-3426199439,761262144,0,2315586204,-578896551,0,-578896551,1736689653,0,1736689653,115,0
2014,2,406178477278,0,406178477278,-350010448226,56168029052,78465503,-13683228408,-13683228408,-6197033728,-25641228020,10725004399,1279089106,-1297204040,-18114934,0,10706889465,-2213885456,0,-2213885456,8493004009,0,8493004009,563,0
2014,3,415217109878,0,415217109878,-369981722201,45235387677,34680011,-11567791726,-11567791726,-5177714973,-26250512616,2274048373,802101806,-350339558,451762248,0,2725810621,-599678337,0,-599678337,2126132284,0,2126132284,141,0
2014,4,479624703816,0,479624703816,-394532865581,85091838235,38690629,-10808611782,-10808611782,-5783582050,-41645913118,26892421914,3200108199,-321532274,2878575925,0,29770997839,-6549619524,0,-6549619524,23221378315,0,23221378315,1539,0
2015,1,397441278676,0,397441278676,-353943937775,43497340901,61786874,-10232439939,-10232439939,-5182925692,-36821742575,-8677980431,827786009,-205981188,621804821,0,-8056175610,0,0,0,-8056175610,0,-8056175610,-534,0
2015,2,459687557644,0,459687557644,-405677203173,54010354471,29157521,-16995536101,-11460676223,-5588840261,-40941643997,-9486508367,147601761,-174705102,-27103341,0,-9513611708,-109635537,0,-109635537,-9623247245,0,-9623247245,-631,0
2015,3,206344311001,0,206344311001,-291279851234,-84935540233,43685375,-9523809266,0,-1993503385,-22600771884,-119009939393,1631455974,-176083102,1455372872,0,-117554566521,0,0,0,-117554566521,0,-117554566521,-7793,0
2015,4,348099181434,0,348099181434,-275135375670,72963805764,38089440,-5939579956,-8422520625,-3899704314,-29821824053,33340786881,26330192804,-25756188859,574003945,0,33914790826,0,0,0,33914790826,0,33914790826,2248,0
2016,1,402055528884,0,402055528884,-350834736157,51220792727,92956973,-8693888877,-8693888877,-3552873723,-31124197236,7942789864,1617189455,-2937397062,-1320207607,0,6622582257,-1456968097,0,-1456968097,5165614160,0,5165614160,342,0
2016,2,317102750742,0,317102750742,-274064037100,43038713642,23362314,-13205636286,-9319163010,-3288699459,-29158690730,-2590950519,-1101886090,-52825276,-1154711366,0,-3745661885,302702906,0,302702906,-3442958979,0,-3442958979,-228,0
2016,3,358136285873,0,358136285873,-306276072328,51860213545,25195042,-12297127694,-12297127694,-4348967433,-36845159715,-1605846255,32587635,139616757,172204392,0,-1433641863,286728373,0,286728373,-1146913490,0,-1146913490,-76,0
2016,4,478521725629,0,478521725629,-386935556295,91586169334,443022424,-14843984115,-12975840583,-5484780325,-45208091498,26492335820,875116526,-487428122,387688404,0,26880024224,-5487656069,0,-5487656069,21392368155,0,21392368155,999,0
2017,1,313759010077,0,313759010077,-269364850898,44394159179,115261744,-14944817661,-14944817661,-3415185744,-23369258460,2780159058,0,0,0,0,2780159058,-556031812,0,-556031812,2224127246,0,2224127246,1138,0
2017,2,389818843641,0,389818843641,-339673816445,50145027196,276578679,-9583927581,-15561584415,-3710730090,-34584154219,2542793985,48916848,0,48916848,0,2591710833,-591911155,0,-591911155,1999799678,0,1999799678,-941,0
2017,3,360066471299,0,360066471299,-311965250671,48101220628,20282098,-15328131478,-15328131478,-3662568362,-28941864289,188938597,2780000,0,2780000,0,191718597,-382939444,0,-382939444,-191220847,0,-191220847,1.026,0
2017,4,380726324861,0,380726324861,-310794158402,69932166459,237075252,-18613030641,-15993662777,-3337120335,-35869081338,12350009397,503799861,-2338340968,-1834541107,0,10515468290,-2581984228,0,-2581984228,7933484062,0,7933484062,1405,0
2018,1,374154922984,0,374154922984,-317327470230,56827452754,18192248,-15907520289,-15907520289,-3926971634,-28801983947,8209169132,0,-156148215,-156148215,0,8053020917,-1751691818,0,-1751691818,6301329099,0,6301329099,294,0
2018,2,495387443742,0,495387443742,-448161828316,47225615426,286359112,-20918070258,-18302190258,-5576751388,-16644806135,4372346757,106395770,0,106395770,0,4478742527,-890446907,0,-890446907,3588295620,0,3588295620,168,0
2018,3,448584722467,0,448584722467,-396636073931,51948648536,16100862,-16320019402,-16320019402,-4658534646,-25209153826,5777041524,2328917,0,2328917,0,5779370441,-1046016096,0,-1046016096,4733354345,0,4733354345,221,0
2018,4,638758111969,0,638758111969,-577892160732,60865951237,306026775,-18650362595,-15380512595,-4449880325,-26806320087,11265415005,775800151,-111824259,663975892,0,11929390897,-3789524353,0,-3789524353,8139866544,0,8139866544,380,0
2019,1,413478734305,0,413478734305,-357872134370,55606599935,20655928,-14630371778,-14630371778,-3675943050,-31191682577,6129258458,58028201,0,58028201,0,6187286659,-1237457332,0,-1237457332,4949829327,0,4949829327,231,0
2019,2,466436260204,0,466436260204,-403085355720,63350904484,321135509,-14830532840,-18100382840,-3500890575,-41821469990,3519146588,769368800,-1842787454,-1073418654,0,2445727934,-7484642972,674231263,-6810411709,-4364683775,0,-4364683775,-204,0
2019,3,567163765289,0,567163765289,-497500162900,69663602389,15821579,-15186907850,-15186907850,-4850648451,-40304581416,9337286251,-77771108,-1385638753,-1463409861,0,7873876390,-1574775278,0,-1574775278,6299101112,0,6299101112,294,0
2019,4,594054498186,0,594054498186,-575788456894,18266041292,340116913,-5121004846,-13840604846,-4940395226,13493935857,22038693990,10836939748,-9455668489,1381271259,0,23419965249,-9407811971,0,-9407811971,14012153278,0,14012153278,654.21,0
2020,1,494277527706,0,494277527706,-446469605182,47807922524,13919331,-12245267431,-12245267431,-3210236386,-25349278342,7017059696,0,-497772948,-497772948,0,6519286748,-1322737350,0,-1322737350,5196549398,0,5196549398,243,0
2020,2,534408948424,0,534408948424,-490697725174,43711223250,345525385,-9370208015,-14330352734,-4189142876,-23862243524,6635154220,550054911,-149792661,400262250,0,7035416470,-2028262035,0,-2028262035,5007154435,0,5007154435,234,0
